,stand,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
2506,R,0,0,0,1,4,190407_182702,2597.0,2,1,5,Strategic,Strategic,0,0_1,fb:0_sb:0_tb:0
928,L,0,1,0,2,2,190630_174150,2831.0,8,0,0,Standard,Strategic,0,3_2,fb:0_sb:1_tb:0
1810,R,1,0,0,2,1,190517_231026,2566.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:1
2089,R,0,0,0,2,5,190502_003002,2577.0,1,3,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
61,R,0,0,0,2,2,190924_233758,2422.0,1,3,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1841,L,0,0,0,1,6,190512_025742,2452.0,4,2,0,Infield shift,Standard,0,1_2,fb:0_sb:0_tb:0
1951,L,0,0,0,1,6,190507_014817,2509.0,5,2,2,Standard,Standard,0,3_1,fb:0_sb:0_tb:0
2766,R,0,0,0,1,1,190328_170825,2370.0,1,0,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
1206,L,0,0,0,2,5,190615_002140,2307.0,8,2,3,Standard,Standard,1,3_2,fb:0_sb:0_tb:0
818,L,0,0,0,0,2,190706_203207,2504.0,3,0,1,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
447,L,1,1,0,0,4,190904_000222,2697.0,1,1,1,Standard,Standard,1,0_0,fb:0_sb:1_tb:1
1447,R,0,1,0,1,4,190602_182952,2290.0,1,1,2,Standard,Standard,0,0_0,fb:0_sb:1_tb:0
1661,L,0,1,0,2,3,190522_235718,2444.0,4,0,1,Standard,Standard,0,1_2,fb:0_sb:1_tb:0
1644,R,0,1,0,1,4,190523_001548,2218.0,8,0,1,Standard,Standard,0,3_2,fb:0_sb:1_tb:0
1112,L,0,0,0,1,4,190620_000604,1643.0,5,0,1,Infield shift,Standard,1,2_2,fb:0_sb:0_tb:0
