,pitch_type,game_date,batter,release_speed,zone,stand,home_team,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
48,FF,2019-09-24,516416,95.9,6.0,R,WSH,0,0,0,2,3,190924_235535,2576.0,4,3,0,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
49,SL,2019-09-24,516416,86.4,14.0,R,WSH,0,0,0,2,3,190924_235508,2466.0,3,3,0,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
50,SL,2019-09-24,516416,86.4,14.0,R,WSH,0,0,0,2,3,190924_235446,2433.0,2,3,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
51,CU,2019-09-24,516416,79.8,6.0,R,WSH,0,0,0,2,3,190924_235428,2785.0,1,3,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
52,CH,2019-09-24,489149,85.3,13.0,L,WSH,0,0,0,1,3,190924_235343,3383.0,4,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
53,CH,2019-09-24,489149,84.1,7.0,L,WSH,0,0,0,1,3,190924_235314,1425.0,3,3,0,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
54,FF,2019-09-24,489149,94.3,11.0,L,WSH,0,0,0,1,3,190924_235255,2612.0,2,3,0,Infield shift,Standard,1,1_0,fb:0_sb:0_tb:0
55,FF,2019-09-24,489149,94.3,12.0,L,WSH,0,0,0,1,3,190924_235238,2548.0,1,3,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
56,CH,2019-09-24,514917,83.7,11.0,L,WSH,0,0,0,0,3,190924_235204,1466.0,1,3,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
57,SL,2019-09-24,605400,85.8,2.0,R,WSH,0,0,0,2,2,190924_233918,2292.0,5,3,0,Standard,Strategic,1,2_2,fb:0_sb:0_tb:0
58,FF,2019-09-24,605400,94.0,11.0,R,WSH,0,0,0,2,2,190924_233854,2407.0,4,3,0,Standard,Standard,1,2_1,fb:0_sb:0_tb:0
59,FF,2019-09-24,605400,93.9,14.0,R,WSH,0,0,0,2,2,190924_233833,1240.0,3,3,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
60,FF,2019-09-24,605400,94.2,5.0,R,WSH,0,0,0,2,2,190924_233810,2452.0,2,3,0,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
61,FF,2019-09-24,605400,93.5,14.0,R,WSH,0,0,0,2,2,190924_233758,2422.0,1,3,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
62,CH,2019-09-24,595284,84.4,13.0,L,WSH,0,0,0,1,2,190924_233728,1555.0,8,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
63,FC,2019-09-24,595284,88.9,5.0,L,WSH,0,0,0,1,2,190924_233700,2429.0,7,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
64,CH,2019-09-24,595284,84.5,13.0,L,WSH,0,0,0,1,2,190924_233615,1546.0,6,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
65,FF,2019-09-24,595284,95.0,12.0,L,WSH,0,0,0,1,2,190924_233549,2331.0,5,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
66,FF,2019-09-24,595284,95.2,2.0,L,WSH,0,0,0,1,2,190924_233526,2473.0,4,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
67,FF,2019-09-24,595284,94.8,5.0,L,WSH,0,0,0,1,2,190924_233455,2457.0,3,3,0,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
68,CU,2019-09-24,595284,81.0,2.0,L,WSH,0,0,0,1,2,190924_233433,2755.0,2,3,0,Infield shift,Standard,1,1_0,fb:0_sb:0_tb:0
69,CU,2019-09-24,595284,79.7,11.0,L,WSH,0,0,0,1,2,190924_233413,2745.0,1,3,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
70,SL,2019-09-24,596748,85.8,14.0,R,WSH,0,0,0,0,2,190924_233336,2545.0,5,3,0,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
71,FF,2019-09-24,596748,94.9,9.0,R,WSH,0,0,0,0,2,190924_233311,2547.0,4,3,0,Standard,Standard,1,2_1,fb:0_sb:0_tb:0
72,FF,2019-09-24,596748,93.2,14.0,R,WSH,0,0,0,0,2,190924_233253,2485.0,3,3,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
73,SL,2019-09-24,596748,86.5,9.0,R,WSH,0,0,0,0,2,190924_233236,2444.0,2,3,0,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
