Pitch,MPH,EV (MPH),Pitcher,Batter,Dist,Spin Rate,LA (°),Zone,Date,Count,Inning,Pitch Result,PA Result
FF,91.1,,Max Scherzer,Wil Myers,,2453,,14,2019-06-08,0-0,Bot 5,ball,
FC,89.5,85.0,Max Scherzer,Greg Garcia,275,2593,21.6,2,2019-06-08,1-0,Bot 5,hit_into_play_no_out,Greg Garcia singles on a line drive to center fielder Victor Robles.
FF,92.6,,Max Scherzer,Greg Garcia,,2540,,11,2019-06-08,0-0,Bot 5,ball,
FF,92.4,,Max Scherzer,Eric Lauer,,2540,,3,2019-06-08,0-2,Bot 5,called_strike,Eric Lauer called out on strikes.
SL,83.4,,Max Scherzer,Eric Lauer,,2490,,4,2019-06-08,0-1,Bot 5,called_strike,
FF,92.1,,Max Scherzer,Eric Lauer,,2532,,4,2019-06-08,0-0,Bot 5,called_strike,
FF,93.8,79.2,Max Scherzer,Austin Allen,4,2389,-23.5,9,2019-06-08,1-1,Bot 4,hit_into_play,"Austin Allen grounds out, second baseman Brian Dozier to first baseman Howie Kendrick."
FF,93.6,,Max Scherzer,Austin Allen,,2440,,8,2019-06-08,1-0,Bot 4,called_strike,
CU,74.9,,Max Scherzer,Austin Allen,,2434,,13,2019-06-08,0-0,Bot 4,ball,
FF,94.4,89.6,Max Scherzer,Ian Kinsler,283,2376,26.7,6,2019-06-08,2-2,Bot 4,hit_into_play_no_out,Ian Kinsler doubles (10) on a line drive to right fielder Adam Eaton.
SL,82.6,97.4,Max Scherzer,Ian Kinsler,326,,44.6,4,2019-06-08,2-2,Bot 4,foul,
FF,96.1,49.5,Max Scherzer,Ian Kinsler,85,2410,15.2,13,2019-06-08,2-2,Bot 4,foul,
SL,83.4,,Max Scherzer,Ian Kinsler,,2376,,3,2019-06-08,2-1,Bot 4,called_strike,
CH,82.1,,Max Scherzer,Ian Kinsler,,1435,,14,2019-06-08,1-1,Bot 4,ball,
SL,83.0,,Max Scherzer,Ian Kinsler,,2386,,14,2019-06-08,0-1,Bot 4,ball,
FF,92.6,,Max Scherzer,Ian Kinsler,,2231,,9,2019-06-08,0-0,Bot 4,called_strike,
FF,93.1,98.8,Max Scherzer,Josh Naylor,340,2484,40.6,1,2019-06-08,0-0,Bot 4,hit_into_play,Josh Naylor flies out to left fielder Juan Soto.
SL,84.7,81.3,Max Scherzer,Franmil Reyes,3,2391,-35.6,9,2019-06-08,0-1,Bot 4,hit_into_play,"Franmil Reyes grounds out, shortstop Trea Turner to first baseman Howie Kendrick."
FF,92.9,,Max Scherzer,Franmil Reyes,,2502,,8,2019-06-08,0-0,Bot 4,called_strike,
FF,92.9,94.2,Max Scherzer,Eric Hosmer,319,2366,39.7,6,2019-06-08,0-1,Bot 3,hit_into_play,Eric Hosmer flies out to right fielder Adam Eaton.
FC,89.1,,Max Scherzer,Eric Hosmer,,2370,,14,2019-06-08,0-0,Bot 3,swinging_strike,
CH,83.8,90.3,Max Scherzer,Manny Machado,,1378,-17.3,13,2019-06-08,1-2,Bot 3,hit_into_play_no_out,Manny Machado singles on a soft ground ball to second baseman Brian Dozier.
CU,78.0,,Max Scherzer,Manny Machado,,2616,,14,2019-06-08,0-2,Bot 3,ball,
SL,84.3,61.4,Max Scherzer,Manny Machado,4,2352,-27.4,9,2019-06-08,0-1,Bot 3,foul,
FF,93.7,74.0,Max Scherzer,Manny Machado,154,2445,68.0,3,2019-06-08,0-0,Bot 3,foul,
FF,97.0,,Max Scherzer,Wil Myers,,2527,,5,2019-06-08,1-2,Bot 3,swinging_strike,Wil Myers strikes out swinging.
CH,85.1,,Max Scherzer,Wil Myers,,1450,,14,2019-06-08,0-2,Bot 3,ball,
SL,84.9,,Max Scherzer,Wil Myers,,2458,,14,2019-06-08,0-1,Bot 3,swinging_strike,
CU,80.0,67.6,Max Scherzer,Wil Myers,177,2850,47.5,9,2019-06-08,0-0,Bot 3,foul,
FF,95.1,101.4,Max Scherzer,Greg Garcia,87,2497,2.3,4,2019-06-08,0-1,Bot 3,hit_into_play,"Greg Garcia grounds out sharply, shortstop Trea Turner to first baseman Howie Kendrick."
CU,80.3,,Max Scherzer,Greg Garcia,,2687,,5,2019-06-08,0-0,Bot 3,called_strike,
SL,85.5,,Max Scherzer,Eric Lauer,,2286,,8,2019-06-08,1-2,Bot 2,swinging_strike,Eric Lauer strikes out swinging.
SL,86.7,,Max Scherzer,Eric Lauer,,2295,,8,2019-06-08,1-1,Bot 2,called_strike,
FF,94.9,,Max Scherzer,Eric Lauer,,2400,,5,2019-06-08,1-0,Bot 2,foul,
SL,84.7,,Max Scherzer,Eric Lauer,,2300,,14,2019-06-08,0-0,Bot 2,ball,
FF,96.1,98.6,Max Scherzer,Ian Kinsler,30,2514,-2.1,8,2019-06-08,0-1,Bot 2,hit_into_play,"Ian Kinsler reaches on a fielder's choice out, third baseman Anthony Rendon to catcher Kurt Suzuki to third baseman Anthony Rendon to pitcher Max Scherzer. Eric Hosmer out at home. Franmil Reyes to 3rd. Ian Kinsler to 2nd."
FF,96.2,,Max Scherzer,Ian Kinsler,,2468,,4,2019-06-08,0-0,Bot 2,called_strike,
FC,92.1,105.6,Max Scherzer,Josh Naylor,20,2485,-5.4,7,2019-06-08,2-0,Bot 2,hit_into_play,"Josh Naylor grounds out, pitcher Max Scherzer to first baseman Howie Kendrick. Eric Hosmer to 3rd. Franmil Reyes to 2nd."
CH,83.6,,Max Scherzer,Josh Naylor,,1409,,13,2019-06-08,1-0,Bot 2,ball,
FF,94.8,,Max Scherzer,Josh Naylor,,2474,,12,2019-06-08,0-0,Bot 2,ball,
SL,86.9,102.8,Max Scherzer,Franmil Reyes,187,2334,10.0,6,2019-06-08,3-1,Bot 2,hit_into_play_no_out,"Franmil Reyes singles on a line drive to second baseman Brian Dozier, deflected by shortstop Trea Turner. Eric Hosmer to 2nd."
FF,96.2,,Max Scherzer,Franmil Reyes,,2503,,3,2019-06-08,2-1,Bot 2,ball,
FF,95.1,,Max Scherzer,Franmil Reyes,,2430,,11,2019-06-08,1-1,Bot 2,ball,
FF,95.6,,Max Scherzer,Franmil Reyes,,2435,,14,2019-06-08,1-0,Bot 2,called_strike,
SL,84.7,,Max Scherzer,Franmil Reyes,,2548,,14,2019-06-08,0-0,Bot 2,blocked_ball,
FC,91.9,99.5,Max Scherzer,Eric Hosmer,6,2503,-13.3,14,2019-06-08,0-2,Bot 2,hit_into_play_no_out,Eric Hosmer singles on a ground ball to right fielder Adam Eaton.
CU,80.0,,Max Scherzer,Eric Hosmer,,2811,,13,2019-06-08,0-1,Bot 2,called_strike,
FF,94.1,,Max Scherzer,Eric Hosmer,,2489,,1,2019-06-08,0-0,Bot 2,called_strike,
SL,86.9,80.0,Max Scherzer,Manny Machado,,2372,69.0,9,2019-06-08,3-2,Bot 1,hit_into_play,Manny Machado pops out to first baseman Howie Kendrick.
SL,86.6,,Max Scherzer,Manny Machado,,2292,,14,2019-06-08,2-2,Bot 1,ball,
FF,96.8,,Max Scherzer,Manny Machado,,2424,,14,2019-06-08,1-2,Bot 1,ball,
FF,96.1,,Max Scherzer,Manny Machado,,2392,,9,2019-06-08,1-1,Bot 1,called_strike,
FF,95.5,,Max Scherzer,Manny Machado,,2448,,13,2019-06-08,0-1,Bot 1,ball,
SL,85.8,,Max Scherzer,Manny Machado,,2250,,14,2019-06-08,0-0,Bot 1,swinging_strike,
SL,87.2,,Max Scherzer,Wil Myers,,2274,,9,2019-06-08,3-2,Bot 1,swinging_strike,Wil Myers strikes out swinging.
CH,85.4,83.1,Max Scherzer,Wil Myers,9,1477,-14.7,8,2019-06-08,3-2,Bot 1,foul,
SL,86.9,,Max Scherzer,Wil Myers,,2468,,1,2019-06-08,3-2,Bot 1,foul,
FF,96.7,,Max Scherzer,Wil Myers,,2560,,12,2019-06-08,2-2,Bot 1,ball,
SL,86.1,,Max Scherzer,Wil Myers,,2513,,13,2019-06-08,1-2,Bot 1,ball,
FF,96.8,,Max Scherzer,Wil Myers,,2499,,3,2019-06-08,0-2,Bot 1,ball,
FF,95.6,,Max Scherzer,Wil Myers,,2472,,3,2019-06-08,0-1,Bot 1,called_strike,
SL,85.8,,Max Scherzer,Wil Myers,,2476,,9,2019-06-08,0-0,Bot 1,swinging_strike,
FF,96.5,,Max Scherzer,Greg Garcia,,2514,,8,2019-06-08,2-2,Bot 1,called_strike,Greg Garcia called out on strikes.
FF,94.9,,Max Scherzer,Greg Garcia,,2524,,11,2019-06-08,2-1,Bot 1,called_strike,
FC,91.6,,Max Scherzer,Greg Garcia,,2532,,12,2019-06-08,1-1,Bot 1,ball,
FF,94.6,,Max Scherzer,Greg Garcia,,2551,,11,2019-06-08,0-1,Bot 1,ball,
FF,93.9,,Max Scherzer,Greg Garcia,,2547,,5,2019-06-08,0-0,Bot 1,called_strike,
FF,96.7,,Max Scherzer,Joey Votto,,2502,,13,2019-06-02,0-2,Bot 8,called_strike,Joey Votto called out on strikes.
FF,94.8,,Max Scherzer,Joey Votto,,2452,,12,2019-06-02,0-1,Bot 8,called_strike,
CU,77.1,,Max Scherzer,Joey Votto,,2682,,5,2019-06-02,0-0,Bot 8,called_strike,
SL,84.5,,Max Scherzer,Nick Senzel,,2452,,5,2019-06-02,3-2,Bot 8,swinging_strike,Nick Senzel strikes out swinging.
FF,95.9,,Max Scherzer,Nick Senzel,,2554,,4,2019-06-02,3-2,Bot 8,foul,
CH,83.7,,Max Scherzer,Nick Senzel,,1510,,7,2019-06-02,3-2,Bot 8,foul,
FF,95.3,74.7,Max Scherzer,Nick Senzel,217,2570,34.1,5,2019-06-02,3-2,Bot 8,foul,
CH,83.0,,Max Scherzer,Nick Senzel,,1497,,9,2019-06-02,2-2,Bot 8,ball,
FF,95.3,79.0,Max Scherzer,Nick Senzel,218,2613,29.0,6,2019-06-02,2-1,Bot 8,foul,
SL,87.0,,Max Scherzer,Nick Senzel,,2555,,14,2019-06-02,1-1,Bot 8,ball,
SL,86.1,,Max Scherzer,Nick Senzel,,2580,,14,2019-06-02,0-1,Bot 8,blocked_ball,
FF,95.0,,Max Scherzer,Nick Senzel,,2523,,12,2019-06-02,0-0,Bot 8,called_strike,
FF,95.0,77.0,Max Scherzer,Jose Peraza,190,2552,58.4,5,2019-06-02,1-1,Bot 8,hit_into_play,Jose Peraza pops out to first baseman Matt Adams.
FF,94.1,74.6,Max Scherzer,Jose Peraza,183,2575,22.7,9,2019-06-02,1-0,Bot 8,foul,
FF,93.6,,Max Scherzer,Jose Peraza,,2529,,14,2019-06-02,0-0,Bot 8,ball,
FF,92.9,100.8,Max Scherzer,Tucker Barnhart,318,2671,20.1,9,2019-06-02,0-0,Bot 8,hit_into_play_no_out,Tucker Barnhart doubles (4) on a sharp line drive to right fielder Gerardo Parra.
FF,94.3,91.3,Max Scherzer,Jose Iglesias,294,2460,45.4,1,2019-06-02,0-0,Bot 7,hit_into_play,Jose Iglesias flies out to left fielder Juan Soto.
CH,84.6,,Max Scherzer,Josh VanMeter,,1762,,8,2019-06-02,1-2,Bot 7,swinging_strike,Josh VanMeter strikes out swinging.
CH,82.7,,Max Scherzer,Josh VanMeter,,1516,,14,2019-06-02,0-2,Bot 7,ball,
FF,96.9,,Max Scherzer,Josh VanMeter,,2551,,2,2019-06-02,0-2,Bot 7,foul,
FC,90.3,,Max Scherzer,Josh VanMeter,,2397,,14,2019-06-02,0-1,Bot 7,swinging_strike,
FF,94.5,72.4,Max Scherzer,Josh VanMeter,161,2543,23.2,5,2019-06-02,0-0,Bot 7,foul,
FF,95.5,97.8,Max Scherzer,Yasiel Puig,348,2579,38.3,8,2019-06-02,2-1,Bot 7,hit_into_play,Yasiel Puig flies out to right fielder Gerardo Parra.
FF,95.2,,Max Scherzer,Yasiel Puig,,2647,,12,2019-06-02,1-1,Bot 7,ball,
FF,94.4,,Max Scherzer,Yasiel Puig,,2562,,12,2019-06-02,0-1,Bot 7,ball,
SL,83.2,,Max Scherzer,Yasiel Puig,,,,2,2019-06-02,0-0,Bot 7,called_strike,
FF,96.6,,Max Scherzer,Jesse Winker,,2498,,1,2019-06-02,2-2,Bot 6,foul_tip,Jesse Winker strikes out on a foul tip.
FC,90.6,,Max Scherzer,Jesse Winker,,2570,,6,2019-06-02,2-2,Bot 6,foul,
CH,85.2,,Max Scherzer,Jesse Winker,,1421,,14,2019-06-02,1-2,Bot 6,ball,
FF,95.7,,Max Scherzer,Jesse Winker,,2491,,3,2019-06-02,1-1,Bot 6,swinging_strike,
CU,78.3,,Max Scherzer,Jesse Winker,,2805,,8,2019-06-02,1-0,Bot 6,called_strike,
CH,83.0,,Max Scherzer,Jesse Winker,,1513,,13,2019-06-02,0-0,Bot 6,ball,
FF,97.4,,Max Scherzer,Derek Dietrich,,2551,,4,2019-06-02,1-2,Bot 6,swinging_strike,Derek Dietrich strikes out swinging.
FF,95.0,,Max Scherzer,Derek Dietrich,,2453,,4,2019-06-02,1-1,Bot 6,foul_tip,
CH,83.7,,Max Scherzer,Derek Dietrich,,1449,,7,2019-06-02,1-0,Bot 6,swinging_strike,
CU,78.8,,Max Scherzer,Derek Dietrich,,2699,,11,2019-06-02,0-0,Bot 6,ball,
FF,95.1,,Max Scherzer,Joey Votto,,2552,,1,2019-06-02,3-2,Bot 6,called_strike,Joey Votto called out on strikes.
FF,96.4,87.4,Max Scherzer,Joey Votto,268,2542,27.3,5,2019-06-02,3-2,Bot 6,foul,
CH,84.3,,Max Scherzer,Joey Votto,,1525,,13,2019-06-02,2-2,Bot 6,ball,
CU,78.8,,Max Scherzer,Joey Votto,,2682,,7,2019-06-02,2-1,Bot 6,foul,
CU,79.2,,Max Scherzer,Joey Votto,,2622,,14,2019-06-02,1-1,Bot 6,ball,
FF,94.7,,Max Scherzer,Joey Votto,,2530,,12,2019-06-02,0-1,Bot 6,ball,
FC,89.2,,Max Scherzer,Joey Votto,,2645,,14,2019-06-02,0-0,Bot 6,swinging_strike,
FF,96.2,102.2,Max Scherzer,Nick Senzel,5,2394,-19.2,8,2019-06-02,0-1,Bot 5,hit_into_play,"Nick Senzel grounds out sharply, second baseman Brian Dozier to first baseman Matt Adams."
CU,78.4,92.6,Max Scherzer,Nick Senzel,23,2672,-4.3,4,2019-06-02,0-0,Bot 5,foul,
CH,84.7,,Max Scherzer,Kyle Farmer,,1693,,14,2019-06-02,1-2,Bot 5,swinging_strike_blocked,Kyle Farmer strikes out swinging.
FF,97.3,79.9,Max Scherzer,Kyle Farmer,222,2472,32.3,6,2019-06-02,1-2,Bot 5,foul,
CH,85.3,66.3,Max Scherzer,Kyle Farmer,6,1712,-22.1,13,2019-06-02,1-2,Bot 5,foul,
FF,95.3,103.4,Max Scherzer,Kyle Farmer,276,2479,54.4,4,2019-06-02,1-1,Bot 5,foul,
SL,85.0,,Max Scherzer,Kyle Farmer,,2451,,14,2019-06-02,1-0,Bot 5,swinging_strike,
FF,94.4,,Max Scherzer,Kyle Farmer,,2454,,14,2019-06-02,0-0,Bot 5,ball,
CH,85.8,,Max Scherzer,Tucker Barnhart,,1666,,7,2019-06-02,2-2,Bot 5,swinging_strike,Tucker Barnhart strikes out swinging.
FF,96.1,68.6,Max Scherzer,Tucker Barnhart,211,2344,29.2,9,2019-06-02,2-2,Bot 5,foul,
FF,95.6,,Max Scherzer,Tucker Barnhart,,2537,,12,2019-06-02,1-2,Bot 5,ball,
CU,81.6,92.8,Max Scherzer,Tucker Barnhart,334,2930,30.4,9,2019-06-02,1-2,Bot 5,foul,
FF,95.4,,Max Scherzer,Tucker Barnhart,,2559,,12,2019-06-02,0-2,Bot 5,ball,
CH,86.2,49.0,Max Scherzer,Tucker Barnhart,52,1583,10.6,13,2019-06-02,0-2,Bot 5,foul,
FF,94.8,,Max Scherzer,Tucker Barnhart,,2472,,2,2019-06-02,0-1,Bot 5,called_strike,
CH,84.3,,Max Scherzer,Tucker Barnhart,,1467,,4,2019-06-02,0-0,Bot 5,swinging_strike,
FF,98.0,,Max Scherzer,Jose Iglesias,,2476,,6,2019-06-02,0-2,Bot 4,swinging_strike,Jose Iglesias strikes out swinging.
FF,96.3,,Max Scherzer,Jose Iglesias,,2441,,12,2019-06-02,0-1,Bot 4,called_strike,
CU,77.9,,Max Scherzer,Jose Iglesias,,2683,,12,2019-06-02,0-0,Bot 4,called_strike,
CH,84.6,,Max Scherzer,Josh VanMeter,,1533,,13,2019-06-02,3-2,Bot 4,blocked_ball,Josh VanMeter walks.
FF,96.2,,Max Scherzer,Josh VanMeter,,2495,,11,2019-06-02,2-2,Bot 4,ball,
FC,91.2,,Max Scherzer,Josh VanMeter,,2444,,14,2019-06-02,2-2,Bot 4,foul,
CH,83.9,,Max Scherzer,Josh VanMeter,,1502,,14,2019-06-02,2-1,Bot 4,swinging_strike,
FF,94.3,,Max Scherzer,Josh VanMeter,,2425,,12,2019-06-02,1-1,Bot 4,ball,
FF,93.3,,Max Scherzer,Josh VanMeter,,2424,,12,2019-06-02,0-1,Bot 4,ball,
CU,78.7,,Max Scherzer,Josh VanMeter,,2680,,8,2019-06-02,0-0,Bot 4,swinging_strike,
FF,96.0,79.3,Max Scherzer,Yasiel Puig,164,2551,60.5,11,2019-06-02,1-0,Bot 4,hit_into_play,Yasiel Puig pops out to second baseman Brian Dozier.
SL,86.1,,Max Scherzer,Yasiel Puig,,2290,,11,2019-06-02,0-0,Bot 4,ball,
FC,90.8,102.1,Max Scherzer,Jesse Winker,317,2579,18.4,1,2019-06-02,2-0,Bot 4,hit_into_play,Jesse Winker lines out sharply to center fielder Victor Robles.
FC,91.3,,Max Scherzer,Jesse Winker,,2502,,11,2019-06-02,1-0,Bot 4,ball,
FF,94.2,,Max Scherzer,Jesse Winker,,2451,,14,2019-06-02,0-0,Bot 4,ball,
FC,91.1,86.7,Max Scherzer,Derek Dietrich,169,2505,13.8,6,2019-06-02,0-1,Bot 4,hit_into_play_score,Derek Dietrich doubles (3) on a line drive to right fielder Gerardo Parra. Joey Votto scores.
FF,94.8,,Max Scherzer,Derek Dietrich,,2442,,3,2019-06-02,0-0,Bot 4,swinging_strike,
CU,81.6,59.0,Max Scherzer,Joey Votto,167,2755,37.9,8,2019-06-02,3-2,Bot 4,hit_into_play_no_out,Joey Votto doubles (10) on a soft line drive to left fielder Juan Soto.
FC,90.9,94.2,Max Scherzer,Joey Votto,6,2574,-20.4,6,2019-06-02,3-1,Bot 4,foul,
FF,94.2,,Max Scherzer,Joey Votto,,2595,,7,2019-06-02,3-0,Bot 4,foul,
FC,90.5,,Max Scherzer,Joey Votto,,2617,,14,2019-06-02,2-0,Bot 4,ball,
FF,94.3,,Max Scherzer,Joey Votto,,2606,,11,2019-06-02,1-0,Bot 4,ball,
FF,94.4,,Max Scherzer,Joey Votto,,2567,,11,2019-06-02,0-0,Bot 4,ball,
FF,96.6,,Max Scherzer,Nick Senzel,,2441,,11,2019-06-02,0-2,Bot 3,swinging_strike,Nick Senzel strikes out swinging.
FF,95.9,,Max Scherzer,Nick Senzel,,2462,,2,2019-06-02,0-1,Bot 3,swinging_strike,
SL,86.1,,Max Scherzer,Nick Senzel,,2390,,4,2019-06-02,0-0,Bot 3,called_strike,
SL,86.5,,Max Scherzer,Sonny Gray,,2311,,4,2019-06-02,0-2,Bot 3,called_strike,Sonny Gray called out on strikes.
FC,88.7,,Max Scherzer,Sonny Gray,,2210,,4,2019-06-02,0-2,Bot 3,foul,
FF,95.0,70.7,Max Scherzer,Sonny Gray,202,2427,44.7,2,2019-06-02,0-1,Bot 3,foul,
SL,87.4,68.3,Max Scherzer,Sonny Gray,9,2307,-15.1,5,2019-06-02,0-0,Bot 3,foul,
FC,92.2,,Max Scherzer,Tucker Barnhart,,2607,,14,2019-06-02,1-2,Bot 3,swinging_strike,Tucker Barnhart strikes out swinging.
FC,91.1,,Max Scherzer,Tucker Barnhart,,2430,,14,2019-06-02,0-2,Bot 3,ball,
CU,79.8,,Max Scherzer,Tucker Barnhart,,,,1,2019-06-02,0-1,Bot 3,called_strike,
FF,94.3,,Max Scherzer,Tucker Barnhart,,2371,,2,2019-06-02,0-0,Bot 3,called_strike,
FF,95.1,,Max Scherzer,Jose Iglesias,,2291,,11,2019-06-02,3-2,Bot 2,foul_tip,Jose Iglesias strikes out on a foul tip.
FF,96.1,87.9,Max Scherzer,Jose Iglesias,258,2507,20.6,9,2019-06-02,3-2,Bot 2,foul,
FF,96.6,,Max Scherzer,Jose Iglesias,,2358,,5,2019-06-02,3-2,Bot 2,foul,
SL,87.1,,Max Scherzer,Jose Iglesias,,2144,,9,2019-06-02,3-1,Bot 2,swinging_strike,
FF,94.5,,Max Scherzer,Jose Iglesias,,2303,,12,2019-06-02,2-1,Bot 2,ball,
FF,94.7,,Max Scherzer,Jose Iglesias,,2271,,12,2019-06-02,1-1,Bot 2,ball,
FF,94.6,,Max Scherzer,Jose Iglesias,,2235,,12,2019-06-02,1-0,Bot 2,called_strike,
SL,86.1,,Max Scherzer,Jose Iglesias,,2240,,12,2019-06-02,0-0,Bot 2,ball,
CH,84.1,,Max Scherzer,Josh VanMeter,,1381,,13,2019-06-02,2-2,Bot 2,swinging_strike,Josh VanMeter strikes out swinging.
CH,85.2,,Max Scherzer,Josh VanMeter,,1483,,11,2019-06-02,1-2,Bot 2,ball,
FF,95.0,77.5,Max Scherzer,Josh VanMeter,155,2360,75.4,2,2019-06-02,1-1,Bot 2,foul,
FF,93.5,,Max Scherzer,Josh VanMeter,,2281,,4,2019-06-02,1-0,Bot 2,called_strike,
CU,78.2,,Max Scherzer,Josh VanMeter,,2754,,11,2019-06-02,0-0,Bot 2,ball,
FF,94.8,93.9,Max Scherzer,Yasiel Puig,346,2498,27.1,5,2019-06-02,1-1,Bot 2,hit_into_play,Yasiel Puig flies out to right fielder Gerardo Parra.
SL,86.9,,Max Scherzer,Yasiel Puig,,2397,,8,2019-06-02,1-0,Bot 2,swinging_strike,
FF,93.6,,Max Scherzer,Yasiel Puig,,2398,,11,2019-06-02,0-0,Bot 2,ball,
FC,89.9,,Max Scherzer,Jesse Winker,,2559,,14,2019-06-02,0-1,Bot 2,hit_by_pitch,Jesse Winker hit by pitch.
FF,94.1,71.3,Max Scherzer,Jesse Winker,221,2469,49.3,8,2019-06-02,0-0,Bot 2,foul,
FF,95.3,94.5,Max Scherzer,Derek Dietrich,363,2486,33.3,2,2019-06-02,0-1,Bot 1,hit_into_play,Derek Dietrich flies out to center fielder Victor Robles.
CU,78.6,,Max Scherzer,Derek Dietrich,,2533,,9,2019-06-02,0-0,Bot 1,called_strike,
FF,94.2,85.4,Max Scherzer,Joey Votto,223,2402,57.8,3,2019-06-02,0-1,Bot 1,hit_into_play,Joey Votto flies out to left fielder Juan Soto in foul territory.
CU,79.7,,Max Scherzer,Joey Votto,,2630,,1,2019-06-02,0-0,Bot 1,called_strike,
FF,95.3,,Max Scherzer,Nick Senzel,,2354,,9,2019-06-02,2-2,Bot 1,called_strike,Nick Senzel called out on strikes.
FF,94.0,,Max Scherzer,Nick Senzel,,2403,,12,2019-06-02,1-2,Bot 1,ball,
SL,85.5,,Max Scherzer,Nick Senzel,,2403,,14,2019-06-02,0-2,Bot 1,ball,
SL,86.3,,Max Scherzer,Nick Senzel,,2401,,8,2019-06-02,0-1,Bot 1,swinging_strike,
FF,92.9,,Max Scherzer,Nick Senzel,,2444,,12,2019-06-02,0-0,Bot 1,swinging_strike,
SL,86.2,82.9,Max Scherzer,Jorge Alfaro,,2304,-20.7,14,2019-05-27,1-0,Top 6,hit_into_play,"Jorge Alfaro grounds out softly, pitcher Max Scherzer to first baseman Matt Adams."
FF,94.0,,Max Scherzer,Jorge Alfaro,,2452,,11,2019-05-27,0-0,Top 6,ball,
FF,96.1,,Max Scherzer,Martin Prado,,2608,,6,2019-05-27,1-2,Top 6,foul_tip,Martin Prado strikes out on a foul tip.
SL,83.8,,Max Scherzer,Martin Prado,,2373,,7,2019-05-27,1-2,Top 6,foul,
FF,95.5,74.2,Max Scherzer,Martin Prado,188,2640,24.0,3,2019-05-27,1-1,Top 6,foul,
SL,84.8,,Max Scherzer,Martin Prado,,2419,,12,2019-05-27,1-0,Top 6,swinging_strike,
SL,86.3,,Max Scherzer,Martin Prado,,2438,,11,2019-05-27,0-0,Top 6,ball,
FF,95.2,,Max Scherzer,Starlin Castro,,2611,,9,2019-05-27,2-2,Top 6,called_strike,Starlin Castro called out on strikes.
SL,86.0,71.7,Max Scherzer,Starlin Castro,173,2407,57.5,5,2019-05-27,2-2,Top 6,foul,
FF,94.5,69.0,Max Scherzer,Starlin Castro,196,2550,47.6,5,2019-05-27,2-2,Top 6,foul,
FF,97.1,,Max Scherzer,Starlin Castro,,2608,,6,2019-05-27,2-2,Top 6,foul,
CH,83.4,,Max Scherzer,Starlin Castro,,1444,,4,2019-05-27,2-2,Top 6,foul,
SL,86.4,,Max Scherzer,Starlin Castro,,2435,,14,2019-05-27,1-2,Top 6,blocked_ball,
SL,88.0,,Max Scherzer,Starlin Castro,,2422,,14,2019-05-27,1-1,Top 6,foul_tip,
FF,95.9,76.8,Max Scherzer,Starlin Castro,224,2610,46.8,2,2019-05-27,1-0,Top 6,foul,
FF,95.0,,Max Scherzer,Starlin Castro,,2474,,12,2019-05-27,0-0,Top 6,ball,
FC,90.7,100.4,Max Scherzer,Neil Walker,386,2667,24.1,6,2019-05-27,1-1,Top 6,hit_into_play_no_out,Neil Walker doubles (9) on a line drive to right fielder Adam Eaton.
FC,90.7,,Max Scherzer,Neil Walker,,2570,,14,2019-05-27,0-1,Top 6,ball,
FF,95.0,,Max Scherzer,Neil Walker,,2534,,4,2019-05-27,0-0,Top 6,called_strike,
FF,95.9,82.9,Max Scherzer,Garrett Cooper,,2571,-20.7,8,2019-05-27,0-1,Top 5,hit_into_play,"Garrett Cooper grounds out, shortstop Trea Turner to first baseman Matt Adams."
FF,95.1,,Max Scherzer,Garrett Cooper,,2499,,9,2019-05-27,0-0,Top 5,called_strike,
SL,87.8,,Max Scherzer,Harold Ramirez,,2398,,14,2019-05-27,3-2,Top 5,ball,Harold Ramirez walks.
FF,96.4,50.9,Max Scherzer,Harold Ramirez,129,2573,36.9,1,2019-05-27,3-2,Top 5,foul,
FF,95.2,,Max Scherzer,Harold Ramirez,,2448,,13,2019-05-27,2-2,Top 5,ball,
FF,96.5,80.4,Max Scherzer,Harold Ramirez,74,2567,2.2,12,2019-05-27,2-2,Top 5,foul,
CU,80.3,,Max Scherzer,Harold Ramirez,,2720,,14,2019-05-27,1-2,Top 5,ball,
FF,96.5,97.8,Max Scherzer,Harold Ramirez,272,2535,18.3,6,2019-05-27,1-2,Top 5,foul,
CH,85.1,95.6,Max Scherzer,Harold Ramirez,9,1793,-11.1,7,2019-05-27,1-1,Top 5,foul,
CH,84.7,,Max Scherzer,Harold Ramirez,,1509,,14,2019-05-27,0-1,Top 5,ball,
FF,93.3,,Max Scherzer,Harold Ramirez,,2420,,2,2019-05-27,0-0,Top 5,foul,
CU,78.3,98.3,Max Scherzer,Curtis Granderson,98,2818,5.5,9,2019-05-27,0-1,Top 5,hit_into_play,"Curtis Granderson grounds out, first baseman Matt Adams to pitcher Max Scherzer."
SL,87.8,,Max Scherzer,Curtis Granderson,,2368,,2,2019-05-27,0-0,Top 5,called_strike,
SL,84.2,,Max Scherzer,Jose Urena,,2370,,5,2019-05-27,0-2,Top 5,swinging_strike,Jose Urena strikes out swinging.
FF,92.5,87.3,Max Scherzer,Jose Urena,174,2538,70.7,3,2019-05-27,0-2,Top 5,foul,
SL,84.4,,Max Scherzer,Jose Urena,,2323,,9,2019-05-27,0-1,Top 5,foul_bunt,
FF,93.4,,Max Scherzer,Jose Urena,,2563,,5,2019-05-27,0-0,Top 5,called_strike,
