Pitch,MPH,EV (MPH),Pitcher,Batter,Dist,Spin Rate,LA (°),Zone,Date,Count,Inning,Pitch Result,PA Result
FF,95.0,,Max Scherzer,Adam Haseley,,2461,,2,2019-09-24,0-0,Top 1,swinging_strike,
SL,85.3,,Max Scherzer,Scott Kingery,,2386,,8,2019-09-24,0-2,Top 1,swinging_strike,Scott Kingery strikes out swinging.
SL,85.9,,Max Scherzer,Scott Kingery,,2411,,5,2019-09-24,0-1,Top 1,called_strike,
SL,86.2,,Max Scherzer,Scott Kingery,,2308,,9,2019-09-24,0-0,Top 1,swinging_strike,
FF,95.9,104.8,Max Scherzer,Brad Miller,426,2502,23.2,9,2019-09-24,0-1,Top 1,hit_into_play_score,Brad Miller homers (9) on a fly ball to center field. Logan Morrison scores. Jean Segura scores.
FF,95.5,,Max Scherzer,Brad Miller,,2518,,5,2019-09-24,0-0,Top 1,foul_tip,
SL,84.1,90.3,Max Scherzer,Jean Segura,,2457,-17.3,14,2019-09-24,0-2,Top 1,hit_into_play_no_out,Jean Segura singles on a ground ball to third baseman Anthony Rendon. Logan Morrison to 2nd.
FF,95.6,81.2,Max Scherzer,Jean Segura,266,2470,35.6,6,2019-09-24,0-2,Top 1,foul,
FF,94.9,,Max Scherzer,Jean Segura,,2537,,7,2019-09-24,0-1,Top 1,called_strike,
SL,85.0,,Max Scherzer,Jean Segura,,2288,,14,2019-09-24,0-0,Top 1,swinging_strike,
FF,97.1,,Max Scherzer,Logan Morrison,,2581,,14,2019-09-24,3-2,Top 1,ball,Logan Morrison walks.
FF,96.7,,Max Scherzer,Logan Morrison,,2503,,4,2019-09-24,3-2,Top 1,foul,
CH,85.5,,Max Scherzer,Logan Morrison,,1483,,8,2019-09-24,3-1,Top 1,foul,
FC,91.5,,Max Scherzer,Logan Morrison,,2415,,12,2019-09-24,2-1,Top 1,ball,
FF,95.8,111.7,Max Scherzer,Logan Morrison,321,2583,19.7,6,2019-09-24,2-0,Top 1,foul,
FF,94.8,,Max Scherzer,Logan Morrison,,2553,,11,2019-09-24,1-0,Top 1,ball,
FF,95.1,,Max Scherzer,Logan Morrison,,2510,,12,2019-09-24,0-0,Top 1,ball,
CH,85.0,76.5,Max Scherzer,Cesar Hernandez,4,1333,-27.9,7,2019-09-24,2-2,Top 1,hit_into_play,Cesar Hernandez grounds out to first baseman Matt Adams.
FF,94.9,,Max Scherzer,Cesar Hernandez,,2550,,9,2019-09-24,2-1,Top 1,called_strike,
CU,80.1,,Max Scherzer,Cesar Hernandez,,2892,,7,2019-09-24,1-1,Top 1,ball,
FF,94.9,,Max Scherzer,Cesar Hernandez,,2592,,14,2019-09-24,0-1,Top 1,ball,
FF,92.1,,Max Scherzer,Cesar Hernandez,,2526,,4,2019-09-24,0-0,Top 1,called_strike,
CU,78.5,97.6,Max Scherzer,Matt Wieters,368,2555,25.3,2,2019-09-18,2-2,Bot 7,hit_into_play_score,Matt Wieters homers (11) on a fly ball to right field. Tommy Edman scores.
FF,94.2,67.7,Max Scherzer,Matt Wieters,175,2286,33.5,3,2019-09-18,2-1,Bot 7,foul,
FF,94.0,76.0,Max Scherzer,Matt Wieters,165,2284,19.6,5,2019-09-18,2-0,Bot 7,foul,
CH,81.6,,Max Scherzer,Matt Wieters,,1129,,11,2019-09-18,1-0,Bot 7,ball,
FF,92.2,,Max Scherzer,Matt Wieters,,2377,,14,2019-09-18,0-0,Bot 7,ball,
CH,83.3,87.1,Max Scherzer,Tommy Edman,59,1355,1.6,11,2019-09-18,2-1,Bot 7,hit_into_play_score,Tommy Edman singles on a ground ball to left fielder Juan Soto. Paul DeJong scores.
FF,96.1,,Max Scherzer,Tommy Edman,,2435,,12,2019-09-18,1-1,Bot 7,ball,
CU,79.2,,Max Scherzer,Tommy Edman,,2660,,13,2019-09-18,0-1,Bot 7,ball,
FF,96.0,,Max Scherzer,Tommy Edman,,2403,,4,2019-09-18,0-0,Bot 7,foul,
SL,86.7,89.6,Max Scherzer,Paul DeJong,331,2396,38.3,5,2019-09-18,1-1,Bot 7,hit_into_play_no_out,Paul DeJong doubles (31) on a fly ball to left fielder Juan Soto.
CH,83.6,,Max Scherzer,Paul DeJong,,1320,,13,2019-09-18,0-1,Bot 7,ball,
FF,95.9,78.9,Max Scherzer,Paul DeJong,186,2211,19.6,5,2019-09-18,0-0,Bot 7,foul,
FF,94.6,76.8,Max Scherzer,Yadier Molina,226,2383,51.2,11,2019-09-18,3-2,Bot 7,hit_into_play,Yadier Molina pops out to second baseman Asdrubal Cabrera.
SL,85.0,68.1,Max Scherzer,Yadier Molina,4,2281,-35.5,4,2019-09-18,3-2,Bot 7,foul,
SL,85.0,,Max Scherzer,Yadier Molina,,2433,,13,2019-09-18,2-2,Bot 7,ball,
FF,94.2,,Max Scherzer,Yadier Molina,,2302,,4,2019-09-18,2-1,Bot 7,called_strike,
CH,84.5,,Max Scherzer,Yadier Molina,,1367,,13,2019-09-18,1-1,Bot 7,ball,
FF,94.6,,Max Scherzer,Yadier Molina,,2474,,11,2019-09-18,0-1,Bot 7,ball,
CU,77.9,,Max Scherzer,Yadier Molina,,2754,,8,2019-09-18,0-0,Bot 7,called_strike,
SL,85.4,,Max Scherzer,Harrison Bader,,2265,,14,2019-09-18,0-2,Bot 7,swinging_strike,Harrison Bader strikes out swinging.
SL,84.2,,Max Scherzer,Harrison Bader,,,,5,2019-09-18,0-1,Bot 7,called_strike,
SL,84.5,,Max Scherzer,Harrison Bader,,2424,,14,2019-09-18,0-0,Bot 7,swinging_strike,
SL,85.4,76.6,Max Scherzer,Marcell Ozuna,264,2213,34.7,4,2019-09-18,1-0,Bot 6,hit_into_play,Marcell Ozuna flies out to right fielder Adam Eaton in foul territory.
CU,,,Max Scherzer,Marcell Ozuna,,,,,2019-09-18,0-0,Bot 6,ball,
FF,95.5,,Max Scherzer,Paul Goldschmidt,,2346,,4,2019-09-18,1-2,Bot 6,swinging_strike,Paul Goldschmidt strikes out swinging.
SL,84.3,,Max Scherzer,Paul Goldschmidt,,2300,,14,2019-09-18,0-2,Bot 6,ball,
FF,96.1,,Max Scherzer,Paul Goldschmidt,,2366,,11,2019-09-18,0-2,Bot 6,foul,
FF,94.8,56.3,Max Scherzer,Paul Goldschmidt,17,2379,-7.3,11,2019-09-18,0-2,Bot 6,foul,
SL,85.0,68.6,Max Scherzer,Paul Goldschmidt,6,2438,-19.7,13,2019-09-18,0-1,Bot 6,foul,
SL,84.8,,Max Scherzer,Paul Goldschmidt,,2379,,5,2019-09-18,0-0,Bot 6,called_strike,
CU,77.4,61.9,Max Scherzer,Kolten Wong,132,2749,22.7,5,2019-09-18,0-0,Bot 6,hit_into_play_no_out,Kolten Wong singles on a ground ball to left fielder Juan Soto. Dexter Fowler to 2nd.
FF,93.5,65.9,Max Scherzer,Dexter Fowler,206,2379,30.3,9,2019-09-18,2-0,Bot 6,hit_into_play_no_out,Dexter Fowler singles on a line drive to left fielder Juan Soto.
CU,78.9,,Max Scherzer,Dexter Fowler,,2851,,14,2019-09-18,1-0,Bot 6,ball,
CH,82.9,,Max Scherzer,Dexter Fowler,,1452,,13,2019-09-18,0-0,Bot 6,ball,
SL,85.0,,Max Scherzer,Adam Wainwright,,2456,,14,2019-09-18,0-2,Bot 6,swinging_strike_blocked,Adam Wainwright strikes out swinging.
FF,93.8,,Max Scherzer,Adam Wainwright,,2301,,6,2019-09-18,0-1,Bot 6,called_strike,
FF,93.1,,Max Scherzer,Adam Wainwright,,2395,,9,2019-09-18,0-0,Bot 6,called_strike,
FF,97.2,,Max Scherzer,Tommy Edman,,2452,,11,2019-09-18,2-2,Bot 5,swinging_strike,Tommy Edman strikes out swinging.
FF,95.4,,Max Scherzer,Tommy Edman,,2535,,2,2019-09-18,2-1,Bot 5,foul,
CU,79.7,,Max Scherzer,Tommy Edman,,2654,,4,2019-09-18,2-0,Bot 5,called_strike,
CH,84.2,,Max Scherzer,Tommy Edman,,1542,,11,2019-09-18,1-0,Bot 5,ball,
FF,95.6,,Max Scherzer,Tommy Edman,,2562,,12,2019-09-18,0-0,Bot 5,ball,
SL,85.2,46.3,Max Scherzer,Paul DeJong,3,2271,-32.7,8,2019-09-18,0-1,Bot 5,hit_into_play_score,"Paul DeJong grounds out softly, pitcher Max Scherzer to first baseman Howie Kendrick. Harrison Bader scores."
SL,84.9,66.4,Max Scherzer,Paul DeJong,161,2408,30.3,2,2019-09-18,0-0,Bot 5,foul,
FF,93.8,82.4,Max Scherzer,Yadier Molina,7,2486,-28.1,12,2019-09-18,0-2,Bot 5,hit_into_play,Yadier Molina grounds out to first baseman Howie Kendrick. Matt Carpenter to 3rd.
